delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,mean,variance,min,max,skewness,kurtosis,hjorth_activity,hjorth_mobility,hjorth_complexity,entropy,label
41.19440096,40.40694306,40.82681151,134.71494,0.303060756,0.299944038,0.305789402,0.989715865,1.009003629,0.464854334,51.7609375,220.144672,-9,121,0.005674415,0.355108489,220.144672,0.341546831,2.817126236,3.01734183,0
24.00058077,34.9672777,32.89577676,143.3929202,0.229410048,0.243856375,0.16737633,1.062971638,0.72959459,0.334495969,51.63515625,219.0278265,-2,120,0.001289939,0.321043658,219.0278265,0.509976674,2.071207255,3.027182936,0
28.50660978,37.21474524,29.54228006,95.53811916,0.309219821,0.389527715,0.298379432,1.259711341,0.964942778,0.525432885,51.50117188,151.9588528,7,99,0.106332791,0.153539591,151.9588528,0.471654087,2.221632231,3.192126276,0
81.93738208,90.26104622,72.91181564,177.4661378,0.410849171,0.508609965,0.461707135,1.237948135,1.123787432,0.687753957,51.65260417,650.3665557,-45,144,-0.046645748,0.312711972,650.3665557,0.235001012,4.049119216,1.918435195,0
58.75269317,66.84898457,51.74209184,167.3701139,0.309147736,0.399408132,0.351034553,1.291965249,1.135491262,0.573229946,51.55572917,479.4127797,-37,124,-0.007551369,0.034746647,479.4127797,0.579607497,1.940940704,2.105068279,0
44.46139727,36.53406388,53.77610687,188.0666035,0.28594182,0.194261305,0.236413039,0.679373536,0.826787208,0.334909665,51.68424479,333.6439184,-12,133,0.149265082,0.325212393,333.6439184,0.431063691,2.450776809,2.422133581,0
366.052408,313.2545432,211.1463184,279.0791784,0.756582127,1.122457595,1.311643563,1.48358989,1.733643337,1.38570302,48.98111979,6856.301076,-277,506,-0.209926144,4.842037743,6856.301076,0.159446493,6.865830329,1.585292379,0
53.98786682,70.502354,55.61284926,167.8471546,0.331330307,0.420039018,0.321648984,1.267734974,0.97078045,0.557102921,52.14375,405.8361068,-23,145,0.063814969,1.367190405,405.8361068,0.295277171,3.268246877,2.481159338,0
23.92020662,32.54815657,29.5339398,101.1785122,0.291899329,0.321690405,0.236415876,1.10205942,0.809922644,0.432004467,52.52747396,177.6776306,4,103,0.026602669,-0.011443882,177.6776306,0.613740111,1.790291082,3.092559673,0
33.72789639,33.99358554,37.03635235,150.6328884,0.24587162,0.225671737,0.223907918,0.917843777,0.910670038,0.360855522,51.40143229,248.6043469,-20,109,0.071817703,0.255931687,248.6043469,0.485093268,2.199983257,2.943853668,0
31.91263457,37.14702701,41.5055277,148.8434718,0.278853531,0.249571087,0.214403992,0.894989874,0.768876734,0.362805488,52.12734375,253.8082627,3,120,0.222013528,0.16830204,253.8082627,0.460095838,2.270898192,2.896812149,0
65.40292073,52.95489369,68.2340058,155.7878019,0.437993251,0.339916817,0.41982055,0.77607775,0.958509177,0.528331664,51.54088542,432.3571825,-28,128,-0.198866387,0.278218535,432.3571825,0.282696945,3.508374967,2.314263476,0
